Job_title,Company,Location,Salary,Job_description
Data Reporting Analyst,Coalition for Responsible Community Development,"Los Angeles, CA",42000.0,"The Data & Reporting Analyst will be involved in four core department functions: 1) data system administration, 2) data collection and monitoring, 3) data…"
IT Analyst II,The State Bar of California,"Los Angeles, CA",98329.0,"Learn to ensure maximum database availability and maintain data integrity.Techniques for defining logical relationships among data, processes or events."
Data Analyst - Marketing Analytics,Mercury Insurance Group,"Brea, CA",72500.0,Retrieves data from various sources and prepares data for analysis.Reviews data for accuracy and revises methods of data retrieval when necessary.
Management Analyst I,SCRRA/Metrolink,"Los Angeles, CA",71469.5,Must demonstrate the ability to collect and analyze data efficiently and work within established timelines.Must be detail-oriented and understand specifics of…
IT Business Analyst,LinQuest Corporation,"Los Angeles, CA",117500.0,Provide Tier 2 and Tier 3 IT support for business applications.Cloud administration: 3 years (Required).The IT Business Analyst’s primary role is to support…
"RESEARCH ANALYST II, BEHAVIORAL SCIENCES",Los Angeles County Department of Human Resources,"Los Angeles County, CA",70520.0,"Research experience working with qualitative and quantitative methods, trend data, cross-sectional data, conducting predictive analytics, and utilizing research…"
Sr. Product Data Analyst - R/Python,Mercury Insurance Group,"Brea, CA",107500.0,Advanced data modeling: 5 years (Preferred).Strong data skills and ability to work with structure and unstructured data from different data source.
PROGRAM ANALYST,US Department of the Navy,"Seal Beach, CA",93498.0,"Within the Department of Defense (DoD), the appointment of retired military members within 180 days immediately following retirement date to a civilian position…"
Radar Telemetry Data Analyst,LTE Networks,"Anaheim, CA",137500.0,"BS Degree should be in Engineering, Math or Physics and 5 years of experience.BS Degree should be in Engineering, Math or Physics: 5 years (Required)."
IT Analyst II,The State Bar of California,"Los Angeles, CA",98329.0,"State Bar of California uses the Microsoft & IBM “stacks” including ASP.NET, SQL, MVC, C#, client-side browser technologies as well as backend functions in MS…"
Program Analyst,US Department of Veterans Affairs,"Long Beach, CA",119811.0,"Special Employment Consideration: VA encourages persons with disabilities to apply, including those eligible for hiring under 5 CFR 213.3102(u), Schedule A,…"
Salesforce Business Analyst,Elements Real Estate,"El Segundo, CA",95000.0,"You have Real Estate knowledge, or a passion for Real Estate, and understand the untapped potential of this industry in the tech space."
Business Analyst,Datalinkage,"Torrance, CA",107500.0,Minimum 5 years of relevant technical and business work experience.Writes programs according to specifications from higher level staff or business analysts.
Data Analyst - Marketing Analytics,Mercury Insurance Group,"Brea, CA",72500.0,"We offer bonus potential, excellent benefits, matching 401(k), employee activities, and many more perks.Competitive salaries, annual incentive | bonus programs…"
Financial Analyst,Express Employment Professionals,"Bala-Cynwyd, PA",50000.0,"Must be detail oriented and organized and possess good analytical skills.Seeking a Financial Analyst/Specialist for a client in Bala Cynwyd, PA."
Business Analyst - Strategy Consulting,Bainbridge,"Philadelphia, PA",62500.0,Strong organizational skills and attention to detail.We help our clients research and formulate strategies that enable them to outperform competition and…
Data Specialist,"Deacom, Inc.","King of Prussia, PA",77500.0,Excellent attention to detail and organizational skills.Individuals on this team play a critical role in this process through the conversion and validation of…
Data and Information Analyst,"PMHCC, Inc.","Philadelphia, PA",54086.0," Extremely strong attention to detail and accuracy.The Behavioral Health and Justice Related Services (BHJRS) Unit seeks to reduce stigma, increase behavioral…"
Pharmaceutical Data Analyst,Concerto HealthAI,"King of Prussia, PA",67500.0,Acts as the data expert to help the client to understand their data better.Writes and reads query language (specifically Microsoft SQL) for purposes of data…
Financial Analyst,Express Employment Professionals,"Bala-Cynwyd, PA",50000.0,"Financial analyst: 1 year (Preferred).Utilizing Excel to streamline existing processes and create new data controls.College degree (B.A., B.S. or B.B.A.)."
IT Business Analyst,HARP Talent Solutions,"King of Prussia, PA",80000.0,3-6 years of IT experience supporting multiple locations.Enhance our use of technology by identifying and implementing new solutions.
Data and Information Analyst,"PMHCC, Inc.","Philadelphia, PA",54086.0, At least one year of experience checking data for accuracy at both individual data point and summary level.Utilization of queries and data tables.
SR. SAS PROGRAMMER ANALYST,PVR Technologies,"King of Prussia, PA",74901.0,"Import/export data, reformat raw data to CDISC analysis standards & programming.Analyze clinical trials, data entry, data management, data validation,…"
IT Business Analyst III,Pennsylvania Lumbermens Mutual Insurance Company,"Philadelphia, PA",75000.0,"Dexterity of hands and fingers to operate a computer keyboard, mouse, and other components.CRM Software: 3 years (Required)."
SR. CLINICAL SAS ANALYST,PVR Technologies,"King of Prussia, PA",74901.0,"Duties: Perform ETL-Extract/Transform/Load, Data analysis & Graphical representation of Data Validation.Extract raw data from Oracle database & use SAS/ACCESS."
Loan IQ Business Analyst,Virtusa,"Wilmington, DE",92500.0,Business Analysis: 5 years (Preferred).7-10 years of Business Analyst experience with at least 3 years of experience with LoanIQ product.
SR. CLINICAL SAS PROGRAMMER ANALYST,PVR Technologies,"King of Prussia, PA",64646.0,"Duties: Experience in Clinical trial data analysis & TLG using SAS, CRF annotations, SDTM & ADaM specifications for Phases I, II & III clinical trials."
Data Specialist,"Deacom, Inc.","King of Prussia, PA",77500.0,Enrich your passion for data by working with customers to overcome business challenges.Individuals on this team play a critical role in this process through…
Financial Analyst,Express Employment Professionals,"Bala-Cynwyd, PA",50000.0,"Seeking a Financial Analyst/Specialist for a client in Bala Cynwyd, PA. This role will be responsible for serving as a liaison between clients and internal…"
Payroll Business Analyst,Confidential,"Atlanta, GA",56475.0,"Review requests for data from auditors, state or federal agencies and helps determine what data to provide.Respond to inquiries about Time and Attendance data…"
Digital Data Analyst,Calculated Hire,"Atlanta, GA",60000.0,1+ years of analytics experience specifically utilizing SQL and data visualization.1-3 years professional experience.Expertise in Digital/Online/eCommerce.
Business Intelligence Manager,Brooksource,"Atlanta, GA",105000.0,"Interfaces with the data architecture team and troubleshoots complex data issues.Lead a team of analysts in the execution of data, reporting, and analysis…"
Data and Reporting Analyst,Tosca,"Atlanta, GA",72500.0,"3-5 years of progressive experience with system databases, report writing, data analysis, modeling, and visualization preferred."
Business Analyst - Strategy Consulting,Bainbridge,"Atlanta, GA",62500.0,"Develops strategic recommendations and solutions for clients using primary and secondary data, gather research, transform data into reports by writing clear and…"
Business Analyst,"Project Verte, Inc.","Sandy Springs, GA",70000.0,"Frequently communicates with internal customers, end-users, and project managers on project progress and issues."
Payroll Business Analyst,Confidential,"Atlanta, GA",56475.0,"Strong problem solving and organization skills, attention to detail and follow through to resolve any outstanding issues and provide solutions to a variety of…"
DHS/OIT-Gateway Help Desk Analyst-(IT Business Analyst 2) -0...,"Human Services, Georgia Department of - DHS","Atlanta, GA",44040.0,Current Georgia state government employees will be subject to State Personnel Board rule provisions.Bachelor's degree in a related field from an accredited…
Digital Data Analyst,Calculated Hire,"Atlanta, GA",60000.0,"1-3 years professional experience.As the Digital Data Analyst, you’d be an active contributor to the Digital Content Operations and Analytics team."
Management & Program Analyst,US Department of Homeland Security,"Atlanta, GA",92956.5,"In this position, you will serve as a senior analyst and advisor to management on the evaluation of the productivity and efficiency of managed work and serve as…"
Evaluation Specialists / Data Analysts,"Peers and Partners, Inc.","Atlanta, GA",56671.0,"Lead the development of datasets, data tables, and data reporting using a multitude of federal and state government data sources.Temporarily due to COVID-19."
IRS PATHWAYS RECENT GRADUATE PROGRAM (MANAGEMENT AND PROGRAM...,US Department of the Treasury,"Atlanta, GA",64099.0,"If selected into Recent Graduates Program , you will be placed in a position as Management & Program Analyst, GS-0343-5/7/9 in the Wage and Investmentdivision."
Business Analyst,MirLogic Solutions Corporation,"Atlanta, GA",90000.0,Candidate must design activities to lead and/or participate in the development of business requirements and associated deliverables through the interaction with…
Senior Consultant - Power BI Data Analyst,WNA-LTD.com,"Atlanta, GA",75000.0,"Exceptional math, spreadsheet and data analytics skills with incredible attention to detail and accuracy.WNA is seeking Senior Consultants with excellent data,…"
Jr . Business Analyst,World Changers Church International,"College Park, GA",45000.0,The Jr. Business Analyst develops and monitors data quality metrics and ensures business data and reporting needs are met.Temporarily due to COVID-19.
Business & IT Analyst,Freedom Electronics,"Kennesaw, GA",45000.0,"Perform data extraction, aggregation, analysis, and quality assurance from multiple data sources using platforms such as Excel, QuickBooks, SQL Server, and…"
Sales and Use Tax Business Analyst,"TaxConnex, LLC","Alpharetta, GA",65000.0,"Determine data transformation requirements to map data to tax returns.3 to 5 years of experience in Indirect taxes which can include Sales & Use,…"
"Student Information Systems Design Analyst, Special Ed - Off...",Gwinnett County Public Schools,"Gwinnett County, GA",58949.0,"Design system tests, develop, document, and support Student Information System software testing, installation and upgrades, customization and maintenance…"
Digital Data Analyst,Calculated Hire,"Atlanta, GA",60000.0,"Digital Data Analyst Atlanta, GA 30339 On-Going Contract As the Digital Data Analyst, you’d be an active contributor to the Digital Content…"
Payroll Business Analyst,Confidential,"Atlanta, GA",56475.0,"Overview of the Payroll Business Analyst The Payroll Business Analyst performs a variety of payroll tax, accounting, reporting, time & attendance and…"
IT Systems Administrator- SAP BW/BI Developer & Support,Gwinnett County,"Gwinnett County, GA",70610.0,"5 years of hands on experience in Business Warehouse administration, enhancement, upgrade, Implementation, configuration, Reporting and advanced troubleshooting…"
IT Systems Administrator- SAP BW/BI Developer & Support,Gwinnett County,"Gwinnett County, GA",70610.0,"Design processes to minimize data quality risks and proactively identify potential data issues.Monitor BI loads, communicate and troubleshoot issues with data…"
Sales and Use Tax Business Analyst,"TaxConnex, LLC","Alpharetta, GA",65000.0,"3 to 5 years of experience in Indirect taxes which can include Sales & Use, Communications Tax, and experience dealing with taxing jurisdictions."
Payroll Business Analystnew,Confidential,"Atlanta, GA",56475.0,"Review requests for data from auditors, state or federal agencies and helps determine what data to provide.Respond to inquiries about Time and Attendance data…"
Business Analystnew,MirLogic Solutions Corporation,"Atlanta, GA",90000.0,Candidate must design activities to lead and/or participate in the development of business requirements and associated deliverables through the interaction with…
Payroll Business Analystnew,Confidential,"Atlanta, GA",56475.0,"Strong problem solving and organization skills, attention to detail and follow through to resolve any outstanding issues and provide solutions to a variety of…"
Data Analyst,"TEKEDGE SOLUTION, INC.","Dallas, TX",72500.0,"A data analyst collects and stores data on sales numbers, market research, logistics, linguistics, or other behaviors.Accuracy and attention to detail."
Academic Data Analyst : Central Management Office,Uplift Education,"Dallas, TX",50000.0,Company Description Uplift's mission is to create and sustain public schools of excellence that empower each student to reach their highest potential in…
"Analyst, Data & Design (226 Days)",Dallas Independent School District,"Dallas, TX",75278.0,Support efforts to ensure data quality and integrity throughout the department through the application of data governance best practices.
Business Analyst,Mills College,"Dallas, TX",70500.0,"Looking for fresher/ experienced Business Analyst consultants for our direct client requirement.Visa Type : - Any Working Visa ( OPT, CPT, GC, GC-EAD, H4EAD,…"
Business Analyst - Strategy Consulting,Bainbridge,"Dallas, TX",62500.0,"Develops strategic recommendations and solutions for clients using primary and secondary data, gather research, transform data into reports by writing clear and…"
Business Analyst,"TEKEDGE SOLUTION, INC.","Dallas, TX",72500.0,"Business analysts (BAs) are responsible for bridging the gap between IT and the business using data analytics to assess processes, determine requirements, and…"
Business Analyst,"Coach-Net RV Motor Club, Inc.","Lewisville, TX",82500.0,"Coach-Net RV Motor Club Inc is looking to add a Business Analyst.Under the Direction of the Director of Information and Technology, our Business Analyst will…"
"Analyst I, Discretionary (226 Days)",Dallas Independent School District,"Dallas, TX",75278.0,Analyze data for instances of non-compliance.Demonstrates ability to interpret the meaning of information for others and analyze policy and financial data.
"Analyst I, Budget (226 Days)",Dallas Independent School District,"Dallas, TX",75278.0,Ability to analyze data or information and develop objectives and strategies as required to meet the goals of the position.
SAS Analyst,"TEKEDGE SOLUTION, INC.","Dallas, TX",72500.0,"Thus, any industry that has questions that might be answered through studying collected data could benefit from the services of a SAS data analyst."
Senior Consultant - Power BI Data Analyst,WNA-LTD.com,"Dallas, TX",75000.0,"Exceptional math, spreadsheet and data analytics skills with incredible attention to detail and accuracy.Develop and analyze budget and forecast data."
"Analyst I, Special Education (226 Days)",Dallas Independent School District,"Dallas, TX",75278.0,Analyze data for instances of non-compliance.Demonstrates ability to interpret the meaning of information for others and analyze policy and financial data.
Sr. Business Analyst,MIC Global Services,"Plano, TX",95000.0,"Business analysis: 5 years (Required).Logical, efficient, keen attention to detail, highly self-motivated and self-directed.Temporarily due to COVID-19."
Business Analyst,Iron Mountain,"Dallas, TX",55000.0,"4 year’s experience in working with large data.Qualified candidate shall have experience in data mining, developing reports for users including internal users,…"
"Analyst I, ESSA Compliance (226 Days) REVISED",Dallas Independent School District,"Dallas, TX",75278.0,"Ability to interpret the meaning of information for others and analyze policy and financial data.Designs, collects, compiles and analyzes data to evaluate…"
Business Analyst,Cottonwood Financial,"Irving, TX",86500.0,3 years of demonstrated business analysis and consulting methodology experience.Ability to write Transact-SQL (T-SQL) queries to fulfill data mapping and light…
BI CONSULTANT,Onyx Infosoft,"Plano, TX",90000.0,(or equivalent) degree in Computer Science or Information Technology (and/or equivalent experience)- 5-8 years of Business-Intelligence experience - Extensive…
Data/Business Intelligence Analyst,Partner4Work,"Pittsburgh, PA",55000.0,"Partner4Work leads the public workforce system in Pittsburgh and Allegheny County.The Data/Business Intelligence Analyst works within the Support team,…"
Business Analyst (Charles River) W2,SSIpeople,"Pittsburgh, PA",107500.0,"Bachelor degree in Computer Science, Information Science, or equivalent work experience required.Five to seven years of systems/business analysis experience…"
Data/Business Intelligence Analyst,Partner4Work,"Pittsburgh, PA",55000.0,"Expertise in use of Excel, including development and use of complex formulas, use of pivot tables, cleaning of large data sets, combining multiple data sets,…"
Business Analyst 3,Motus Recruiting and Staffing,"Portland, OR",66877.5,"This position will provide analysis and development of capital projects management processes procedures, and policy recommendations."
Data Analyst,"Go, Inc.","Portland, OR",57500.0,"Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and…"
Program Analyst,US Department of Veterans Affairs,"Portland, OR",87375.5,"Special Employment Consideration: VA encourages persons with disabilities to apply, including those eligible for hiring under 5 CFR 213.3102(u), Schedule A,…"
Data Analytics Specialist (Auditing),US Department of Energy,"Portland, OR",111965.5,"Data Management - Knowledge of the principles, procedures, and tools of data management, such as modeling techniques, data backup, data recovery, data…"
Business Analyst 3,Motus Recruiting and Staffing,"Portland, OR",66877.5,"Analyze and develop budget reports for management using existing capital, expense, and operational data.This role primarily supports capital project proposal…"
Business Analyst 3,Motus Recruiting and Staffing,"Portland, OR",66877.5,"*Business Analyst * Our client, a leading Pacific Northwest utility provider, is looking for a Business Analyst for their Portland, Oregon location. This…"
Program Analyst - Technical Career Field (TCF Intern),US Department of Veterans Affairs,"Vancouver, WA",53077.5,"Monitors data trends and assesses productivity metrics.Participates with the HIS to assess data to identify, quantify and resolve organizational problems."
HR Analyst I - Recruitment and Benefits,Mount Hood Community College,"Gresham, OR",64278.5,"Visual eye strain and repetitive hand/wrist motion for data entry and keyboarding functions.Collects information, analyzes data, and generates reports and…"
"Interdisciplinary: General Engineer, Physical Scientist, Ope...",US Department of Energy,"Portland, OR",72630.0,Set up the problem; conduct background research; collect and reduce data; display data for analysis; and draw conclusions.You must be a United States Citizen.
Business Intelligence Manager,"Multnomah County, OR","Portland, OR",91407.0,"Facilitate BI related process around data quality, data definitions, business rules maintenance, data governance or others as needed."
Business Analyst 3new,Motus Recruiting and Staffing,"Portland, OR",66877.5,"Analyze and develop budget reports for management using existing capital, expense, and operational data.This role primarily supports capital project proposal…"
Jr. Data Analyst,Brooksource,"Phoenix, AZ",67500.0,Work with a wide range of stakeholders and functional teams along with data analysts and data scientists to develop data visualizations that provide business…
Data Analyst - Workers' Compensation,TheBestIRS,"Scottsdale, AZ",37500.0,The role will provide clerical and data management administrative support to the Insurance program Manager.We have an immediate junior-level opening for a Data…
Business Analyst - Strategy Consulting,Bainbridge,"Phoenix, AZ",62500.0,"Develops strategic recommendations and solutions for clients using primary and secondary data, gather research, transform data into reports by writing clear and…"
Researcher Data Analyst Specialist VII (Job 2371),Arizona Supreme Court,"Phoenix, AZ",64175.0,"This position is also responsible for research design, data collection and analysis for various applied research projects, including program evaluation and…"
Data Analyst,Education At Work,"Tempe, AZ",51000.0,A data analyst's job is to take that data and use it to help companies make better business decisions.Synthesize current business intelligence or trend data to…
Jr. Business Analyst V (Job 2299),Arizona Supreme Court,"Phoenix, AZ",52990.0,"Other requirements include: an understanding of business analyst role and the role of other team members; basic understanding of courts, probation, and/or…"
Supply Chain Data Analyst [Inventory Control Specialist],Unbrako,"Phoenix, AZ",52500.0,"Fastener industry: 5 years (Preferred).Minimum 3 years experience in production planning/scheduling or inventory management, preferably in the fastener…"
Jr. Data Analyst,Brooksource,"Phoenix, AZ",67500.0,"1-3 years of experience in healthcare setting or similar.Brooksource is hiring a Jr. Data Analyst for our Fortune 40 Healthcare Client in Phoenix, Arizona."
Program Analyst,US Department of Veterans Affairs,"Phoenix, AZ",63028.5,"Special Employment Consideration: VA encourages persons with disabilities to apply, including those eligible for hiring under 5 CFR 213.3102(u), Schedule A,…"
Liquidity Business Analyst,Silicon Valley Bank,"Tempe, AZ",58500.0,Capture and record data relating to account acquisition and account status.Collect data to learn more about client behavior with the goal to enhance the client…
Digital Campaign Analyst,2060 Digital,"Phoenix, AZ",45000.0,"Pay great attention to detail and focus on quality of results/success (per technique, per creative, per inventory, etc.)."
Data Analyst - Workers' Compensation,TheBestIRS,"Scottsdale, AZ",37500.0,We have an immediate junior-level opening for a Data Analyst.The role will provide clerical and data management administrative support to the Insurance program…
PROGRAM ANALYST,US Department of the Air Force,"Luke AFB, AZ",108690.0,"This position meets the administrative exemption criteria for the Fair Labor Standards Act (5 CFR 551.206).Ability to plan, organize, develop and lead studies…"
Business Analyst,Verra Mobility,"Mesa, AZ",85000.0,"Business analyst: 3 years (Preferred).Ability to work in teams, general Consulting Skills, Strong analysis skills, Attention to detail, adaptability,…"
MANAGEMENT AND PROGRAM ANALYST,US Department of the Air Force,"Luke AFB, AZ",91404.0,"Knowledge of effective training principles, techniques, and tools required to design, develop, instruct, evaluate, improve and conduct training/course content."
SBDC Business Analysts (Continuous Pool),Maricopa Community Colleges,"Maricopa County, AZ",48945.5,Two (2) or more years of experience in commercial lending with an emphasis on working with loans up to $5 million.10% - Conducts workshops and training events.
Business Intelligence Manager,Education At Work,"Tempe, AZ",72500.0,"Three (3) years of experience in a manager level role in Analytics, Business Intelligence or Data Warehouse Management.Provide back-end analysis and reporting."
Sr. Business Analyst VI (Job 2376),Arizona Supreme Court,"Phoenix, AZ",57810.0,Minimum 5 years of experience as a Business Analyst or Lead Trainer.Other requirements include: thorough understanding of business analyst role on a systems…
Data Analyst,Education At Work,"Tempe, AZ",51000.0,The Data Analyst who is able to turn project requirements into custom-formatted data reports.The ideal candidate for this position is able to do complete life…
Jr. Data Analyst,Brooksource,"Phoenix, AZ",67500.0,"Phoenix, AZ (Must reside in Phoenix) Contract-to-hire Brooksource is hiring a Jr. Data Analyst for our Fortune 40 Healthcare Client in Phoenix, Arizona. If…"
Data Analyst - Workers' Compensation,TheBestIRS,"Scottsdale, AZ",37500.0,"Data Analyst - Workers' Compensation SCOTTSDALE, AZ 85054 | DIRECT HIRE $35,000 TO $40,000 ANNUALLY, DEPENDING ON EXPERIENCE Job Description: We have an…"
Business Analyst - Strategy Consulting,Bainbridge,"Denver, CO",62500.0,"Develops strategic recommendations and solutions for clients using primary and secondary data, gather research, transform data into reports by writing clear and…"
Data Analyst,Goldstone Partners,"Boulder, CO",110000.0,"Converting raw data and complex quantitative analysis into actionable business goals.Experience with data visualization and BI tools, Tableau, Insight Squared…"
Health Care Data Analyst,Center for Improving Value in Health Care - CIVHC,"Denver, CO",77500.0,"Demonstrated experience interpreting data models, data dictionaries and queries.Demonstrated ability to design complex data visualizations."
Health Care Data Analyst,Center for Improving Value in Health Care - CIVHC,"Denver, CO",77500.0,"Health care analytics: 3 years (Preferred).Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of…"
Map and Data Analyst,Engrain,"Denver, CO",49000.0,The Engrain Map Analyst is responsible for ensuring the accuracy and organization of survey forensics for the Map Production Team.
Health Care Data Analyst,Center for Improving Value in Health Care - CIVHC,"Denver, CO",77500.0,"*Position Title: * Health Care Data Analyst Reports To: Director of Data Operations & Analytics Job Classification: Exempt, Full-time *JOB DESCRIPTION…"
Management and Program Analyst,US Department of the Interior,"Lakewood, CO",80707.5,"KSA 3: Knowledge of agency policies, mission, and operating programs to determine impact of changes on programs, determine program effectiveness in attaining…"
Business Process and Performance Analyst,"Arapahoe County, CO","Littleton, CO",58136.0,Develops the methodology for the collection of relevant data and assembling and designating data into meaningful formats to create Return on Investment (ROI)…
IT Senior Business/Application Analyst,Commerce City,"Commerce City, CO",86413.5,Strong knowledge to perform data analysis and reporting.Skill in analyzing and synthesizing large volumes of data.Designs reports from various databases.
Entry Level Business Analyst,Microsolutiontek,"Houston, TX",66500.0,High level of accuracy and attention to detail.Gathered user requirements and directed developers for practical deliverables.Temporarily due to COVID-19.
Financial Data Analyst,Luminess Cosmetics,"Stafford, TX",67500.0,"We are looking for a self-driven, detail-oriented contributor with financial data analysis and reporting expertise.Managing Data: 5 years (Required)."
Sr . Business Analyst,"DRIL-QUIP, INC","Houston, TX",122000.0,Full System Development Life Cycle: 5 years (Required).Sr. Business Analyst – Supply Chain and Planning.The Sr. Business Analyst – Supply Chain and Planning…
Market Research Analyst,"Metropolitan Transit Authority of Houston, Texas","Houston, TX",83424.5,Minimum five (5) years’ in a professional environment where market research is conducted.Responsible for qualitative and quantitative research and analysis to…
Business Analyst,The Viswa Group,"Houston, TX",70000.0,Experience: * Business Analysis: 3 years (Required).Business Analysis: 3 years (Required).No H1-B sponsorship available for this position.
BI Developer/Business Analyst,SMP Pharmacy Solutions,"Miami, FL",65000.0,SMP Fertility is an award-winning fertility pharmacy that prides itself in exceptional customer service and competitive pricing.Power BI: 2 years (Preferred).
Senior Business Analyst,Vohra Wound Physicians,"Miramar, FL",105000.0,Business Analysis: 5 years (Required).Navigating Software Development: 5 years (Required).The company is currently looking for a highly process-driven Senior…
Jr. Data Analyst,Acquire Health,"Fort Lauderdale, FL",42500.0,"1-2 years analyst experience generating, improving and automating reports.Analyze market and sales metrics and trends, present results in a clear manner."
Business Analyst,The Cervantes Group,"Miami, FL",80637.5,"In addition, you’ll be part of a team that discusses with decision-makers, system owners, and end-users to define business and operations requirements and…"
Senior Business Analyst,Vohra Wound Physicians,"Miramar, FL",105000.0,Apply your understanding of the company infrastructure and data repository to allow for both developmental and data reporting requirement gathering.
BI Developer/Business Analyst,SMP Pharmacy Solutions,"Miami, FL",65000.0,Background in data mining and data warehouse design (e.g. dimensional modeling).Create tools to store data (e.g. OLAP cubes).Power BI: 2 years (Preferred).
MARKET RESEARCH ANALYST,IMW Internet Marketing WorldWide,"Miami Beach, FL",37086.0,"Duties: Collect and analyze data on customer demographics, preferences, needs, and buying habits to identify potential markets and factors affecting product…"
IT Business Analyst / Scrum - Agile / Ecommerce - ERP,"Allivet Pet Pharmacy - Miami Lakes, FL","Miami Lakes, FL",80000.0,Good understanding of data architecture concepts.Minimum 3 years of Professional Experience.E-Commerce: 3 years (Preferred).Agile/Scrum: 6 years (Preferred).
Program Analyst (Operations),US Department of the Army,"Miami, FL",93984.0,"About the Position: Serve as the Program Analyst (Operations) for United States Army Garrison-Miami, a Major Support Command of the US Southern Command."
IT Business Analyst / Scrum - Agile / Ecommerce - ERP,"Allivet Pet Pharmacy - Miami Lakes, FL","Miami Lakes, FL",80000.0,Minimum 3 years of Professional Experience.E-Commerce: 3 years (Preferred).Project Coordination/Management: 3 years (Preferred).
Program Analyst (Operations),US Department of the Army,"Miami, FL",93984.0,"Gathers, analyzes and synthesizes data in conjunction with special assignments.About the Position: Serve as the Program Analyst (Operations) for United States…"
Jr. Data Analyst,Acquire Health,"Fort Lauderdale, FL",42500.0,We are looking for data analysts with excellent communication skills who can translate data-findings to insights for sales representatives and management.
"Program Evaluation Analyst, Equity Center",The Rector & Visitors of the University of Virgini...,"Charlottesville, VA",62500.0,"The position requires a detail-oriented analyst with the capacity for data collection, cleaning, and analysis."
Cloud Data Analyst-TS/SCI Clearance and Sec + Cert Req.,"E&M Technologies, Inc.","Charlottesville, VA",105000.0,"Cloud Watchlist Data Management shall include operational support of the watchlist data to include ingestion of bulk watchlist nominations/updates; analysis,…"
Cloud Data Analyst-TS/SCI Clearance and Sec + Cert Req.,"E&M Technologies, Inc.","Charlottesville, VA",105000.0,"Provide data analysis of Identity Intelligence or Identity Intelligence-related data to support data ingestion quality control, and requests for information."
Business Analyst - Strategy Consulting,Bainbridge,"Richmond, VA",62500.0,"“Top Forbes-rated, MIT-founded professional strategy consultancy with exceptional growth in new technology, meritocracy, expanding management team” …"
Human Resources Information Analyst,Chesterfield County Public Schools,"Chesterfield, VA",72844.5,"General Description The Human Resources Information Systems Analyst maintains, updates, and modifies data elements, fields, and records for electronic…"
Business Analyst,ClearOne Advantage,"Baltimore, MD",77500.0,Business Analysis: 3 years (Required).Collecting andanalyzing business requirements and transferring knowledge to development team.
Business Analyst - Software Development,Dynamed Solutions for CRISP (Chesapeake Regional Information System for our Patients),"Columbia, MD",65000.0,"The ideal applicant will be an excellent verbal and written communicator, will have an attention to detail, the ability to solve coordinate with a number of…"
DATABASE SPECIALIST I **REPOST** (Data Analyst/ ETL Develope...,State of Maryland,"Catonsville, MD",53863.5,"Experience operating computer systems; or scheduling, controlling input and output or maintaining a tape library to process data on computer systems; or…"
DATABASE SPECIALIST I (Data Analyst/ ETL Developer),Maryland Department of Health,"Baltimore County, MD",74933.0,"Experience operating computer systems; or scheduling, controlling input and output or maintaining a tape library to process data on computer systems; or…"
Data Visualization Analyst,Johns Hopkins University,"Baltimore, MD",53710.0,"Excellent attention to detail and a systematic approach to problem solving.Currently, the team is working to build out analysis and visualizations for Johns…"
Research Data Analyst,Johns Hopkins University,"Baltimore, MD",53710.0,"Develop data analysis methodologies, including defining in detail data requirements, data sources and proper data analysis procedures."
Business Analyst - Software Development,Dynamed Solutions for CRISP (Chesapeake Regional Information System for our Patients),"Columbia, MD",65000.0,The business analyst plays a critical role on the software development team to ensure delivered products meet requirements.
Business Analyst,ClearOne Advantage,"Baltimore, MD",77500.0,"Ability to gather andinterpret relevant data and information.Business Analysis: 3 years (Required).Evaluating the datacollected through task analysis,…"
Business Intelligence Analyst II,Tower Federal Credit Union,"Laurel, MD",67145.5,"Monitors data quality to identify and troubleshoot data anomalies and discrepancies, such as duplicates and illogical or missing data, in order to maintain data…"
Data Analyst / Data Scientist,"AMCHES, INC","Fort Meade, MD",200000.0,"We have an immediate need for a Software Engineer to support TTO 58 PULSE V. This position will support modifications to and development of PULSE, the corporate…"
Business Analyst / Scrum Master,LeanSpike,"Baltimore, MD",72500.0,"Bachelor’s degree and 4 years of product or project development experience, or 3 years of project development experience on an Agile Team or an equivalent…"
ITSM Systems Process Analyst,Maryland Judiciary,"Annapolis, MD",78060.0,"Experience: Three (3) years of experience in a large-scale enterprise environment designing, developing, testing, implementing and maintaining ITSM frameworks."
Data Analyst - Chief Operations Officer,Baltimore City Public Schools,"Baltimore, MD",65908.0,Strong data analysis and problem?solving skills required.Completes ad hoc analyses requested by leadership using the data collected and reported on.
Sr. Research Data Analyst,Johns Hopkins University,"Baltimore, MD",62352.5,Assists with R&E data cleaning and data preparation for analysis w/Direction.Assists in monitoring data compilation for program feedback w/Direction.
Business Analyst/Technical Writer,"Momentum, Inc.","Crownsville, MD",82500.0,"Compile technical rankings and review financials, develop combined rankings, and work with technical leads for award determination.Temporarily due to COVID-19."
Operations Officer I (Asset Management Analyst) - Department...,"City of Baltimore, MD","Baltimore, MD",99709.0,"The City of Baltimore, Department of Planning, Policy and Data Analysis Division is seeking an individual with significant project management and data analytic…"
Program Analyst,US Department of Agriculture,"Beltsville, MD",109900.0,"Facilitates the creation of annual and multi-year plans for NAL that are consistent with Library, Agency, REE Mission Area, and Departmental strategic…"
